quote,character,movie
The man who can wield the power of this sword can summon to him an army     more deadly than any that walks this earth.  Put aside the Ranger.  Become     who you were born to be 'nen i-Estel Edain.,Elrond,The Return of the King
'-chebin Estel anim.,Aragorn II Elessar,The Return of the King
I didn't think they would find any livery that would  fit me.,Peregrin Took,The Return of the King
It once belonged to a young boy of the city.  A very foolish one who     wasted many hours slaying dragons instead of attending his studies.,Faramir,The Return of the King
This was yours?,Peregrin Took,The Return of the King
"Yes, it was mine.  My father had it made for me.   ",Faramir,The Return of the King
Get back there and smash it down!,Gothmog (Lieutenant of Morgul),The Return of the King
But nothing can breach it!,MINOR_CHARACTER,The Return of the King
" ,  It was     well done.  A generous deed should not be checked with cold counsel.     ,     You are to join the tower guard. ",Faramir,The Return of the King
What were you thinking Peregrin Took?  What service can a Hobbit offer     such a great lord of men?,Peregrin Took,The Return of the King
"Grond, Grond, Grond, Grond,     Grond! ",MINOR_CHARACTER,The Return of the King
"Grond, Grond, Grond, Grond!  ",MINOR_CHARACTER,The Return of the King
Eowyn',Aragorn II Elessar,The Return of the King
Why are you doing this?  The war lies to the East.  You cannot leave on     the eve of battle.  You cannot abandon the men.,�owyn,The Return of the King
"Grond will breach it! , Bring out the wolf's head. ",Gothmog (Lieutenant of Morgul),The Return of the King
We need you here.,�owyn,The Return of the King
I have wished you joy since first I saw you.,Aragorn II Elessar,The Return of the King
Just where do you     think you're off to?,Gimli,The Return of the King
Not this time.  This time you must stay Gimli.,Aragorn II Elessar,The Return of the King
Hmmmm,Gimli,The Return of the King
Have you learnt nothing of the stubbornness of     dwarves?,Legolas,The Return of the King
You might as well accept it.  We're going with you laddie.  Aragorn     smiles.,Gimli,The Return of the King
Do you not know?,�owyn,The Return of the King
It is but a shadow and a thought that you love.  I cannot give you what     you seek.,Aragorn II Elessar,The Return of the King
He leaves because there is no hope.,Gamling,The Return of the King
He leaves because he must.,Th�oden,The Return of the King
"Well, I'm taller than you were then.  Though, I'm not likely to grow     anymore, except sideways.   ",Peregrin Took,The Return of the King
Why have you come?,Aragorn II Elessar,The Return of the King
"What's happening, where is he going?  I don't understand.  (, Lord Aragorn!  Why does     he leave on the eve of battle?   ",MINOR_CHARACTER,The Return of the King
"It never fitted me either.  Boromir was always the soldier.     ,  They were so alike he and     my father.  Proud, stubborn even, but strong.   ",Faramir,The Return of the King
I think you have strength of a different kind.  And one day your father     will see it.,Peregrin Took,The Return of the King
"And I shall not forget it! ,  nor fail to reward  that which is given.     ,      Fealty with love.  ,      Valour with honour.  Disloyalty with vengeance.      ,      I do not think we should so lightly abandon the outer defences.  Defences     that your brother long held intact.   ",Denethor I,The Return of the King
What would you have me do?,Faramir,The Return of the King
I will not yield the River and Pellenor unfought.  Osgiliath must be     retaken.,Denethor I,The Return of the King
My lord Osgiliath is over run.,Faramir,The Return of the King
Much must be risked in war.    Is there a Captain here who still has the     courage to do his lord's will?,Denethor I,The Return of the King
You wish now that our places had been exchanged.  That I had died and     Boromir had lived.,Faramir,The Return of the King
"Here do I swear fealty and service to Gondor in peace or war, in living     or dying, from , ' from this hour henceforth     until my lord release me or death take me. ",Peregrin Took,The Return of the King
" No, we cannot.  But we will meet them in battle nonetheless.      ",Th�oden,The Return of the King
"I have left instruction. , The people are to follow your rule in     my stead.     Take up my seat in the Golden Hall. Long may you defend Edoras, if the     battle goes ill.  ",Th�oden,The Return of the King
What other duty would you have me do my lord?,Faramir,The Return of the King
"Duty? ,     no. , I     would have you smile again, not grieve for those whose time has come. You     shall live to see these days renewed , ' and no more despair ",Th�oden,The Return of the King
"Yes, I wish that.   ",Denethor I,The Return of the King
"Since you are robbed of Boromir I will do what I can in his stead.     ,     If I should return, think better of me father.  ",Faramir,The Return of the King
To few have come.  We cannot defeat the armies of Mordor.,Gamling,The Return of the King
"Sneaking?  Sneaking?  Fat Hobbit is always so polite.  Smeagol shows     them secret ways that nobody else could find and they say 'sneak!'  Sneak?      Very nice friend, oh yes my precious very nice , very nice! ",Gollum,The Return of the King
Alright!  Alright!  You just startled me is all.  What were you doing?,Samwise Gamgee,The Return of the King
Sneaking.,Gollum,The Return of the King
"Fine, have it your own way.  ,  I'm sorry to wake you Mr Frodo but we have to be     moving on.  ",Samwise Gamgee,The Return of the King
It's dark still.,Frodo Baggins,The Return of the King
"It's always dark here.  ,  It's gone!     , The elven bread!     ",Samwise Gamgee,The Return of the King
Ech!,Gollum,The Return of the King
What?  That's all we have left!,Frodo Baggins,The Return of the King
We can't hold them.  The city is lost.,Madril,The Return of the King
What are you up to?  Sneaking off are we?,Samwise Gamgee,The Return of the King
That will depend on the manner of your return.,Denethor I,The Return of the King
He took it.  He must have.,Samwise Gamgee,The Return of the King
"Smeagol?  No, no, not poor Smeagol.  Smeagol hates nasty elf bread.      ",Gollum,The Return of the King
You're a lying rat!  What did you do with it?,Samwise Gamgee,The Return of the King
"  He doesn't     eat it. , He can't have taken     it.   ",Frodo Baggins,The Return of the King
" Look, what's this?  ,  Crumbs on his jacketses.  He took it! ,He took it! ,  I've seen him, he's always stuffing his face when master's     not looking. ",Gollum,The Return of the King
"That's a filthy lie!  ,      You stinking, two faced sneak!   ",Samwise Gamgee,The Return of the King
Tell the men to break cover.  We ride for Minas Tirith.,Faramir,The Return of the King
Nazg'l!,Damrod,The Return of the King
Take cover!  Nazgul!  Fall     back.  Fall back to Minas Tirith!,Faramir,The Return of the King
Stop it!,Frodo Baggins,The Return of the King
I'll kill him!,Samwise Gamgee,The Return of the King
Call me',Samwise Gamgee,The Return of the King
" Sam, no!   ",Frodo Baggins,The Return of the King
"No.  No you're not all right, you're exhausted.  It's that Gollum.  It's     this place.  It's that thing around your neck.  , I could help a bit.  I could carry it for     a while ,,     carry it for a while ,      I could carry it' I could carry it' Share the load' share the load' share     the load  ",Samwise Gamgee,The Return of the King
Get away!,Frodo Baggins,The Return of the King
"Fall back!  ,  Retreat!  Retreat!  Run for your lives!   ",Faramir,The Return of the King
The age of men is over.  The time of the Orc has come.,Gothmog (Lieutenant of Morgul),The Return of the King
I'm all right.,Frodo Baggins,The Return of the King
" Oh my!   I'm sorry.  I didn't mean it to go so far.  I was just     so, so angry!  Here just' let's just rest a bit. ",Samwise Gamgee,The Return of the King
"Keep going.  It's the Nazgul.  Take cover my lord.     ,     It's coming.  ",MINOR_CHARACTER,The Return of the King
Sam!,Frodo Baggins,The Return of the King
Its Mithrandir!  The White Rider!,MINOR_CHARACTER,The Return of the King
Foreseen and done nothing!,Gandalf,The Return of the King
Faramir?  This is not the first Halfling to have crossed your path.,Gandalf,The Return of the King
Pull!,MINOR_CHARACTER,The Return of the King
"Mithrandir!  ,     They broke through our defences.  They've taken the bridge and the West     bank.  Battalions of Orcs are crossing the river.   ",Faramir,The Return of the King
It is as the Lord Denethor predicted!  Long has he foreseen this doom!,Irolas,The Return of the King
You've seen Frodo and Sam?,Peregrin Took,The Return of the King
No.,Faramir,The Return of the King
Where?  When?,Gandalf,The Return of the King
"I don't want to keep it.  , I just want to help.   ",Samwise Gamgee,The Return of the King
See?  See?  He wants it for himself.,Gollum,The Return of the King
"Shut up you!  ,  Go away!  Get     out of here! ",Samwise Gamgee,The Return of the King
"No Sam!  It's you!  ,      I'm sorry Sam.   ",Frodo Baggins,The Return of the King
But he's a liar!  He's poisoned     you against me.,Samwise Gamgee,The Return of the King
You can't help me any more.,Frodo Baggins,The Return of the King
You don't mean that.,Samwise Gamgee,The Return of the King
Go home.,Frodo Baggins,The Return of the King
Can you sing Master Hobbit?,Denethor I,The Return of the King
" well, yes.  At least well     enough for my own people.  But we have no songs for great halls and evil     times. ",Peregrin Took,The Return of the King
"Sauron's wrath will be terrible, his retribution swift.           ",Gandalf,The Two Towers 
The battle for Helm's Deep is over. The battle for Middle-earth is about to begin.,Gandalf,The Two Towers 
(looking back out to Mordor) All our hopes now lie with two little Hobbits...,Gandalf,The Two Towers 
"In Ithilien.  Not two days ago.  Gandalf, they're taking the road to the     Morgul vale.   ",Faramir,The Return of the King
"Where does my allegiance lie if not here?  This is the city of the men     of N'menor.  I will gladly give my life to defend her beauty, her memory,     her wisdom. ",Faramir,The Return of the King
What does that mean? What's wrong?  He looks at Gandalf.,Peregrin Took,The Return of the King
"  Faramir!  Faramir!     , Your     father's will has turned to madness.  Do not throw away your life so     rashly.   ",Gandalf,The Return of the King
"Your father loves you Faramir.  ,  He will remember it before the end.   ",Gandalf,The Return of the King
And then the pass of Cirith Ungol.,Gandalf,The Return of the King
"What you judged to be right!  You sent the Ring of power into Mordor in     the hands of a witless Halfling!  It should have been brought back to the     citadel to be kept safe. Hidden.  Dark and deep in the vaults' not to be     used.  ,      unless, at the uttermost end of need. ",Denethor I,The Return of the King
I would not use the Ring.  Not if Minas Tirith were falling in ruin and     I alone could save her.,Faramir,The Return of the King
Ever you desire to appear lordly and gracious as a King of old.       Boromir would have remembered his father's need.   He would have brought me     a kingly gift,Denethor I,The Return of the King
Boromir would not have brought the Ring.   He would have stretched     out his hand to this thing and taking it he would have fallen.,Faramir,The Return of the King
This is how you would serve your city?  You would risk its utter     ruin?,Denethor I,The Return of the King
I did what I judged to be right.,Faramir,The Return of the King
"And why should your songs be unfit for my halls?  Come, sing me a song.      ",Denethor I,The Return of the King
"Home is behind, The world ahead, ,  And     there are many paths to tread, Through shadow, to the edge of night    ,      Until the stars are all alight. ,  Mist and shadow     cloud and shade, All shall fade, All shall , 'fade.      ",Peregrin Took,The Return of the King
Faramir tell me everything.  Tell me all you know.,Gandalf,The Return of the King
"March, march!   March, march march!   ",MINOR_CHARACTER,The Return of the King
...somewhere in the wilderness.,Gandalf,The Two Towers 
I wonder if we'll ever be put into songs or tales.,Samwise Gamgee,The Two Towers 
What?,Frodo Baggins,The Two Towers 
"I wonder if people will ever say,      ""Let's hear about Frodo and the Ring.""      And they'll say,      ""Yes! That's one of my favourite stories.""      ""Frodo was really courageous, wasn't he, Dad? ""      ""Yes, my boy. ,The most famousest of Hobbits.      And that's saying a lot."",     ",Samwise Gamgee,The Two Towers 
"Well, you've left out one of the chief characters:      ""Samwise the Brave.""      I want to hear more about Sam.           ",Frodo Baggins,The Two Towers 
Frodo wouldn't have got far      without Sam.,Frodo Baggins,The Two Towers 
Smeagol?,Frodo Baggins,The Two Towers 
"So was l. ,     ",Frodo Baggins,The Two Towers 
"Master. Master looks after us. ,Master wouldn't hurt us.           ",Gollum,The Two Towers 
"Now, Mr. Frodo, you shouldn't make fun. I was being serious.            ",Samwise Gamgee,The Two Towers 
"Don't ask Smeagol. Poor, poor Smeagol.           ",Gollum,The Two Towers 
"""Samwise the Brave.""     ",Samwise Gamgee,The Two Towers 
Master broke his promise.,Gollum,The Two Towers 
You know nothing of this matter!,Denethor I,The Return of the King
"We're not going to wait for you. Come on.,     ",Samwise Gamgee,The Two Towers 
Father?,Faramir,The Return of the King
"My son!  ,  Leave me!  ",Denethor I,The Return of the King
Careful master!  Careful.   Very far to fall.  Very dangerous are the     stairs.,Gollum,The Return of the King
Come master.,Gollum,The Return of the King
Come to Smeagol.,Gollum,The Return of the King
"Mr Frodo!  , Get back     you!  Don't touch him.   ",Samwise Gamgee,The Return of the King
"Master betrayed us. Wicked. Tricksy. False. ,We ought to wring his filthy little neck.,Kill him! Kill him! Kill them both! ,And then we take the precious......and we be the master!           ",Gollum,The Two Towers 
He would have kept it for his own.  And when he returned you would not     have known your son.,Faramir,The Return of the King
Send forth all legions.  Do not stop the attack until the city is     taken.,Witch-King of Angmar,The Return of the King
Boromir was loyal to me!   Not some wizard's pupil.,Denethor I,The Return of the King
"Why does he hates poor Smeagol?  What has Smeagol ever done to him?      Master?  ,Master carries a heavy     burden Smeagol knows, heavy heavy burden.  Fat one cannot know.  ,  He wants it.  He needs     it.  Smeagol sees it in his eye.  , Very soon he will ask you for it.  You     will see.   The fat one will take it from you!       ",Gollum,The Return of the King
"But the fat Hobbit, he knows.      Eyes always watching.           ",Gollum,The Two Towers 
"Yes. , No! No! ,It's too risky. It's too risky.           ",Gollum,The Two Towers 
"Where is he? Where has he gone? Hey, Gollum! Where are you?           ",Samwise Gamgee,The Two Towers 
Smeagol?,Frodo Baggins,The Two Towers 
"We could let , do it.           ",Gollum,The Two Towers 
Yes. She could do it.,Gollum,The Two Towers 
"Yes, precious, she could. And then we takes it once they're dead.           ",Gollum,The Two Towers 
Yes. Yes. Yes.,Gollum,The Two Towers 
Kill them both.,Gollum,The Two Towers 
"Come on, Hobbits. Long ways to go yet. , Smeagol will show you the way.           ",Gollum,The Two Towers 
Then we stabs them out. Put out his eyeses and make him crawl.,Gollum,The Two Towers 
"Once they're dead. ,Ssssssssssssssh!           ",Gollum,The Two Towers 
Stay out of the forest! Keep away from the trees!,�omer,The Two Towers 
Final count.....42.,Legolas,The Two Towers 
"Forty-two? That's not bad for a pointy-eared Elvish princeling. I myself am sitting pretty on 43.,     ",Gimli,The Two Towers 
Forty-three.,Legolas,The Two Towers 
I will break him.,Witch-King of Angmar,The Return of the King
Where are Theoden's riders?,MINOR_CHARACTER,The Return of the King
Will Rohan's army come?  Mithrandir?,MINOR_CHARACTER,The Return of the King
Courage is the best defence that you have now.,Gandalf,The Return of the King
Follow me.,Gollum,The Two Towers 
He was twitching.,Legolas,The Two Towers 
Slay them all!,Witch-King of Angmar,The Return of the King
"He was twitching......because he's got my axe ,embedded in his nervous system!           ",Gimli,The Two Towers 
"He doesn't look too happy, does he?           ",Meriadoc Brandybuck,The Two Towers 
"Not too happy at all, Merry.           ",Peregrin Took,The Two Towers 
"Still, I suppose the view would be quite nice from up there.           ",Meriadoc Brandybuck,The Two Towers 
He was already dead.,Gimli,The Two Towers 
What of the wizard?,Gothmog (Lieutenant of Morgul),The Return of the King
"No, it isn't. I'm starving.           ",Peregrin Took,The Two Towers 
"Good luck trying to find something decent around here. ,Probably only dead rats and      mouldy bread.,     ",Meriadoc Brandybuck,The Two Towers 
Saruman's storeroom!,Meriadoc Brandybuck,The Two Towers 
I don't believe it.,Peregrin Took,The Two Towers 
It can't be.,Meriadoc Brandybuck,The Two Towers 
lt is!,Peregrin Took,The Two Towers 
"Oh, yes. It's a quality establishment. I hear the staff are very good.           ",Peregrin Took,The Two Towers 
What are you doing?,Peregrin Took,The Two Towers 
"Nothing. The world's back to normal, that's all.           ",Meriadoc Brandybuck,The Two Towers 
"It's perfect. One barrel each.,Wait.      Do you think we should share it with Treebeard?           ",Peregrin Took,The Two Towers 
"Share it? ,No. No. ,Dead plant and all that. Don't think he'd understand. ,Could be a distant relative.           ",Meriadoc Brandybuck,The Two Towers 
I get it. Don't be hasty.,Peregrin Took,The Two Towers 
" Exactly.      , Bar-hrum.     ",Meriadoc Brandybuck,The Two Towers 
"Longbottom Leaf. ,The finest pipe-weed in South Farthing.           ",Meriadoc Brandybuck,The Two Towers 
The Shire must truly be a great realm      Master Gamgee......where gardeners are held in high honor.,Faramir,The Two Towers 
What road will you take once you reach the woods?,Faramir,The Two Towers 
"Gollum says there's a path......near Minas Morgul that climbs up into the mountains.,     ",Frodo Baggins,The Two Towers 
"Cirith Ungol?,     ",Faramir,The Two Towers 
ls that its name?,Faramir,The Two Towers 
"No. ,No! , Yes.           ",Gollum,The Two Towers 
This is the old sewer. Runs right under the river through to the edge of the city.      You'll find cover in the woods there.,Faramir,The Two Towers 
"Captain Faramir......you have shown your quality, sir.           ",Samwise Gamgee,The Two Towers 
The very highest.,Samwise Gamgee,The Two Towers 
I must.,Frodo Baggins,The Two Towers 
"lt is the only way. Master says we must go to Mordor, so we must try.           ",Gollum,The Two Towers 
Thank you.,Frodo Baggins,The Two Towers 
" Go, Frodo. Go with the goodwill of all Men.,     ",Faramir,The Two Towers 
Frodo......they say a dark terror dwells in the passes above Minas      Morgul. You cannot go that way.,Faramir,The Two Towers 
May death find you quickly if you bring them to harm.,Faramir,The Two Towers 
"Come on, keep up.           ",Samwise Gamgee,The Two Towers 
"Mr. Frodo didn't mean for them Rangers to hurt you. You know that, don't you?      He was trying to save you, see?           ",Samwise Gamgee,The Two Towers 
"Very decent of you. Very decent, indeed      Gollum.    ",Samwise Gamgee,The Two Towers 
Faramir! Orcs have taken the eastern shore. Their numbers are too great.      By nightfall we will be overrun.,Madril,The Two Towers 
Mr. Frodo?,Samwise Gamgee,The Two Towers 
"It's calling to him, Sam. His Eye is almost on me.            ",Frodo Baggins,The Two Towers 
"Hold on, Mr. Frodo. You'll be all right.           ",Samwise Gamgee,The Two Towers 
"Take them to my father. ,Tell him Faramir sends a mighty gift.      ,A weapon that will change our fortunes      in this war. ,     ",Faramir,The Two Towers 
"No, no, no hard feelings. Gollum, Gollum. ,Yes, master. Nice Hobbits.           ",Gollum,The Two Towers 
So there's no hard feelings. Forgive and forget.,Samwise Gamgee,The Two Towers 
Save me?,Gollum,The Two Towers 
"Do you want to know      what happened to Boromir? ,You want to know why your brother died?  He tried to take the Ring from Frodo after swearing an oath to protect him! ,He tried to kill him! The Ring drove your brother mad!           ",Samwise Gamgee,The Two Towers 
Watch out!,MINOR_CHARACTER,The Two Towers 
Mr. Frodo?,Samwise Gamgee,The Two Towers 
They're here.,Frodo Baggins,The Two Towers 
Nazgul!,Faramir,The Two Towers 
They've come.,Frodo Baggins,The Two Towers 
"The fortress is taken. It is over.,     ",Th�oden,The Two Towers 
You said this fortress would never fall while your men defend it.      They still defend it. They have died defending it.,Aragorn II Elessar,The Two Towers 
They're past the door!,MINOR_CHARACTER,The Two Towers 
They are breaking in!,MINOR_CHARACTER,The Two Towers 
Is there no other way for the women      and children to get out of the caves?,Aragorn II Elessar,The Two Towers 
"Stay here. Keep out of sight. ,Take cover!           ",Faramir,The Two Towers 
Is there no other way?,Aragorn II Elessar,The Two Towers 
"Nan Barad! Nan Barad! , Haldir, nan Barad! (",Aragorn II Elessar,The Two Towers 
What are you doing? What are you stopping for?,Gimli,The Two Towers 
Nan Barad! (To the Keep!),Haldir (Haladin),The Two Towers 
Haldir!,Aragorn II Elessar,The Two Towers 
"So much death. ,  What can Men do against such reckless hate?           ",Th�oden,The Two Towers 
"Ride out with me. ,Ride out and meet them.,     ",Aragorn II Elessar,The Two Towers 
Tell the women and children      to make for the mountain pass. And barricade the entrance!,Aragorn II Elessar,The Two Towers 
For Rohan. For your people.,Aragorn II Elessar,The Two Towers 
"Aragorn! Fall back to the Keep! Get your men out of there!,     ",Th�oden,The Two Towers 
There is one passage. It leads into the mountains. But they will not get far.      The Uruk-hai are too many.,Gamling,The Two Towers 
The sun is rising.,Gimli,The Two Towers 
Look to my coming at first light on the fifth day. At dawn......Iook to the east.,Gandalf,The Two Towers 
"Yes!,     ",Gimli,The Two Towers 
Yes.........Yes.........The horn of Helm Hammerhand......shall sound in the Deep......one last time.,Th�oden,The Two Towers 
For death and glory.,Th�oden,The Two Towers 
Gandalf.,Aragorn II Elessar,The Two Towers 
" Theoden King stands alone.,            ",Gandalf,The Two Towers 
Brace the gate!,MINOR_CHARACTER,The Two Towers 
Hold them!,MINOR_CHARACTER,The Two Towers 
To the gate. Draw your swords!,Th�oden,The Two Towers 
"Make way! ( ,We cannot hold much longer!       ",Gamling,The Two Towers 
Hold them!,Th�oden,The Two Towers 
How long do you need?,Aragorn II Elessar,The Two Towers 
"Fell deeds, awake. Now for wrath......now for ruin and a red dawn.,     ",Th�oden,The Two Towers 
As long as you can give me.,Th�oden,The Two Towers 
"Let this be the hour      when we draw swords together. ,     ",Th�oden,The Two Towers 
"Forth Eorlingas!,     ",Th�oden,The Two Towers 
Gimli!,Aragorn II Elessar,The Two Towers 
Timbers! Brace the gate!,Th�oden,The Two Towers 
Come on. We can take them.,Gimli,The Two Towers 
Toss me.,Gimli,The Two Towers 
To the king!,�omer,The Two Towers 
Yes!,Peregrin Took,The Two Towers 
A hit. A fine hit.,Treebeard,The Two Towers 
Break the dam!  Release the river!,Treebeard,The Two Towers 
Pippin! Hold on!,Meriadoc Brandybuck,The Two Towers 
"Hold on, little Hobbits.           ",Treebeard,The Two Towers 
What are you doing?,Samwise Gamgee,The Two Towers 
Where are you going?,Samwise Gamgee,The Two Towers 
It's a long way.,Aragorn II Elessar,The Two Towers 
What?,Aragorn II Elessar,The Two Towers 
I cannot jump the distance! You'll have to toss me!,Gimli,The Two Towers 
Don't tell the Elf.,Gimli,The Two Towers 
It's me. It's your Sam. Don't you know your Sam?,Samwise Gamgee,The Two Towers 
"Eomer.,     ",Th�oden,The Two Towers 
"Not alone. , Rohirrim!           ",�omer,The Two Towers 
Shore up the door!,Th�oden,The Two Towers 
Watch our backs!,MINOR_CHARACTER,The Two Towers 
Throw another one over here!,MINOR_CHARACTER,The Two Towers 
Higher!,Th�oden,The Two Towers 
Hold fast the gate!,MINOR_CHARACTER,The Two Towers 
Gimli! Aragorn! Get out of there!,Th�oden,The Two Towers 
Aragorn!,Legolas,The Two Towers 
Follow me to the barricade.,MINOR_CHARACTER,The Two Towers 
Make way!,MINOR_CHARACTER,The Two Towers 
Fall back! Fall back!,Gamling,The Two Towers 
"I can't do this, Sam.           ",Frodo Baggins,The Two Towers 
"I know. It's all wrong.      ,By rights, we shouldn't even be here.      But we are. It's like in the great stories, Mr. Frodo. The ones that really mattered.      ,Full of darkness and danger they were.      And sometimes you didn't want to know the end.....because how could the end be happy?       How could the world go back      to the way it was...... when so much bad had happened?           ",Samwise Gamgee,The Two Towers 
Victory! We have victory!,Th�oden,The Two Towers 
Not a word.,Aragorn II Elessar,The Two Towers 
"What are we holding on to, Sam?           ",Frodo Baggins,The Two Towers 
"That there's some good in this world, Mr. Frodo. And it's worth fighting for.           ",Samwise Gamgee,The Two Towers 
"I think at last we understand one another, Frodo Baggins. ,     ",Faramir,The Two Towers 
"You know the laws of our country, the laws of your father. If you let them go      your life will be forfeit.           ",Madril,The Two Towers 
"Then it is forfeit. Release them.,     ",Faramir,The Two Towers 
They have broken through! The castle is breached. Retreat!,Th�oden,The Two Towers 
"Folk in those stories......had lots of chances of turning back, only they didn't.      They kept going......because they were holding on to something.    ",Samwise Gamgee,The Two Towers 
"But in the end, it's only a passing thing...... this shadow. Even darkness must pass.      A new day will come. And when the sun shines, it will shine out the clearer.      Those were the stories      that stayed with you......that meant something. Even if you were too small      to understand why. But I think, Mr. Frodo, I do understand. I know now.           ",Samwise Gamgee,The Two Towers 
Retreat!,Th�oden,The Two Towers 
Hurry! Inside. Get them inside!,Aragorn II Elessar,The Two Towers 
Into the Keep!,Gamling,The Two Towers 
Pull everybody back. Pull them back.,Th�oden,The Two Towers 
Fall back!,Gamling,The Two Towers 
I will leave you at the western borders of the forest. You can make your way north      to your homeland from there.,Treebeard,The Two Towers 
"That doesn't make sense to me.      But then......you are very small. ,Perhaps you're right. South it is, then.      Hold on, little Shirelings. ,I always like going south. Somehow it feels like going downhill.,     ",Treebeard,The Two Towers 
Are you mad? We'll be caught.,Meriadoc Brandybuck,The Two Towers 
"No, we won't. Not this time.       ",Peregrin Took,The Two Towers 
Look! Osgiliath burns!,MINOR_CHARACTER,The Two Towers 
Mordor has come.,MINOR_CHARACTER,The Two Towers 
"The Ring will not save Gondor.      , It has only the power to destroy.      Please......Iet me go.        ",Frodo Baggins,The Two Towers 
South? But that will lead you past lsengard.,Treebeard,The Two Towers 
"Yes. Exactly.,If we go south, we can slip      past Saruman unnoticed. The closer we are to danger, the farther we are from harm.      It's the last thing he'll expect.       ",Peregrin Took,The Two Towers 
Wait! Stop! Stop! Turn around. Turn around. Take us south.,Peregrin Took,The Two Towers 
Hurry.,Faramir,The Two Towers 
Faramir! You must let me go!,Frodo Baggins,The Two Towers 
"And those little family of field mice......that climb up sometimes, and they tickle me awfully.        ",Treebeard,The Two Towers 
They had voices of their own.,Treebeard,The Two Towers 
Saruman. A wizard should know better!,Treebeard,The Two Towers 
There is no curse in Elvish......Entish or the tongues of Men......for this treachery.,Treebeard,The Two Towers 
"You could have picked a better spot.,     ",Gimli,The Two Towers 
"Well, lad, whatever luck you live by, let's hope it lasts the night.       ",Gimli,The Two Towers 
"Your friends are with you, Aragorn.       ",Legolas,The Two Towers 
Let's hope they last the night.,Gimli,The Two Towers 
Many of these trees were my friends. Creatures I had known from nut and acorn.,Treebeard,The Two Towers 
" A      Eruch'n, '-dano i faelas a hyn an uben tanatha le faelas! ,     ",Aragorn II Elessar,The Two Towers 
What's happening out there?,Gimli,The Two Towers 
"I'm sorry, Treebeard.       ",Peregrin Took,The Two Towers 
Shall I describe it to you? Or would you like me to find you a box?,Legolas,The Two Towers 
Look! The trees! They're moving!,Peregrin Took,The Two Towers 
They're always trying to get somewhere where they....,Treebeard,The Two Towers 
Yes!,Meriadoc Brandybuck,The Two Towers 
They have business with the Orcs. My business is with lsengard tonight......with rock and stone.,Treebeard,The Two Towers 
So it begins.,Th�oden,The Two Towers 
Tangado a chadad!,Aragorn II Elessar,The Two Towers 
Faeg i-varv d'n na lanc a      nu ranc.,Legolas,The Two Towers 
Leithio i philinn!,Aragorn II Elessar,The Two Towers 
"Did they hit anything?,     ",Gimli,The Two Towers 
Where are they going?,Meriadoc Brandybuck,The Two Towers 
"Come, my friends. The Ents are going to war. It is likely......that we go to our doom.      Last march......of the Ents.       ",Treebeard,The Two Towers 
Give them a volley.,Th�oden,The Two Towers 
Fire!,Gamling,The Two Towers 
Fire!,MINOR_CHARACTER,The Two Towers 
"Pendraith! ,     ",Aragorn II Elessar,The Two Towers 
Good!,Gimli,The Two Towers 
Swords! Swords!,Aragorn II Elessar,The Two Towers 
I'm on 17!,Legolas,The Two Towers 
Legolas! Two already!,Gimli,The Two Towers 
I'll have no pointy-ear outscoring me!,Gimli,The Two Towers 
Ribed bant!,Aragorn II Elessar,The Two Towers 
"Send them to me! Come on!,     ",Gimli,The Two Towers 
Nineteen!,Legolas,The Two Towers 
Merry.,Peregrin Took,The Two Towers 
"I have told your names to the Entmoot......and we have agreed......you are not      Orcs.,     ",Treebeard,The Two Towers 
And what about Saruman? Have you come to a decision about him?,Meriadoc Brandybuck,The Two Towers 
"Well, that's good news. ",Peregrin Took,The Two Towers 
"We have just agreed.,     ",Treebeard,The Two Towers 
Yes?,Meriadoc Brandybuck,The Two Towers 
"Now, don't be hasty, Master Meriadoc.       ",Treebeard,The Two Towers 
"War? Yes. It affects us all. Tree, root and twig.      But you must understand, young Hobbit......it takes a long time......to say anything in Old      Entish... ,...and we never say anything......unless it is worth taking......a long time to say.,     ",Treebeard,The Two Towers 
"Hasty? Our friends are out there. ,They need our help. They cannot fight this war on their own.       ",Meriadoc Brandybuck,The Two Towers 
Seventeen! Eighteen! Nineteen! Twenty! Twenty-one!,Gimli,The Two Towers 
Is this it? Is this is all you can conjure      Saruman?,Th�oden,The Two Towers 
"Togo hon dad, Legolas! , ",Aragorn II Elessar,The Two Towers 
Brace the gate!,Th�oden,The Two Towers 
Aragorn!,Gimli,The Two Towers 
Hold them! Stand firm!,Th�oden,The Two Towers 
Gimli!,Aragorn II Elessar,The Two Towers 
Hado i philinn!,Aragorn II Elessar,The Two Towers 
Herio!,Aragorn II Elessar,The Two Towers 
Causeway!,Aragorn II Elessar,The Two Towers 
Dago hon! Dago hon!,Aragorn II Elessar,The Two Towers 
"The Ents cannot hold back this storm. We must weather such things as we have always done.,     ",Treebeard,The Two Towers 
How can that be your decision?!,Meriadoc Brandybuck,The Two Towers 
"You are young and brave, Master Merry. But your part in this tale is over.      Go back to your home.,     ",Treebeard,The Two Towers 
"Maybe Treebeard's right. We don't belong here, Merry. It's too big for us.      What can we do in the end? We've got the Shire. Maybe we should go home.,     ",Peregrin Took,The Two Towers 
"The fires of lsengard will spread......and the woods of Tuckborough and Buckland will burn.      And.... ,And all that was once green and good      in this world will be gone. There won't be a Shire, Pippin.       ",Meriadoc Brandybuck,The Two Towers 
Boromir! Boromir!,MINOR_CHARACTER,The Two Towers 
